ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
07/06/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
17:01:29.745	0.061347	0.027885	0.139426
17:01:29.804	0.060240	0.027382	0.136909
17:01:29.863	0.061689	0.028040	0.140202
17:01:29.923	0.059801	0.027182	0.135912
17:01:29.982	0.060866	0.027667	0.138333
17:01:30.041	0.061007	0.027730	0.138652
17:01:30.100	0.061191	0.027814	0.139070
17:01:30.159	0.062118	0.028235	0.141177
17:01:30.218	0.062125	0.028238	0.141192
17:01:30.278	0.061477	0.027944	0.139722
17:01:30.337	0.060155	0.027343	0.136715
17:01:30.396	0.060758	0.027617	0.138087
17:01:30.455	0.059653	0.027115	0.135575
17:01:30.514	0.059747	0.027158	0.135788
17:01:30.574	0.060968	0.027713	0.138563
17:01:30.633	0.061007	0.027730	0.138651
17:01:30.692	0.061393	0.027906	0.139530
17:01:30.751	0.061951	0.028159	0.140797
17:01:30.810	0.061030	0.027741	0.138704
17:01:30.869	0.060359	0.027436	0.137180
17:01:30.928	0.059670	0.027123	0.135613
17:01:30.988	0.060846	0.027657	0.138287
17:01:31.047	0.060634	0.027561	0.137805
17:01:31.106	0.060499	0.027500	0.137498
17:01:31.165	0.061234	0.027834	0.139168
17:01:31.225	0.061546	0.027975	0.139877
17:01:31.284	0.062070	0.028214	0.141068
17:01:31.343	0.061128	0.027785	0.138927
17:01:31.402	0.060635	0.027561	0.137806
17:01:31.461	0.061973	0.028170	0.140848
17:01:31.520	0.060795	0.027634	0.138171
17:01:31.579	0.061539	0.027972	0.139862
17:01:31.638	0.061489	0.027950	0.139748
17:01:31.697	0.061865	0.028120	0.140601
17:01:31.757	0.061624	0.028011	0.140056
17:01:31.816	0.061130	0.027786	0.138931
17:01:31.875	0.062010	0.028186	0.140932
17:01:31.934	0.062077	0.028217	0.141083
17:01:31.993	0.061830	0.028104	0.140522
17:01:32.052	0.061955	0.028161	0.140807
17:01:32.111	0.060975	0.027716	0.138579
17:01:32.170	0.060496	0.027498	0.137492
17:01:32.229	0.060657	0.027571	0.137856
17:01:32.288	0.059834	0.027197	0.135987
17:01:32.347	0.060737	0.027608	0.138040
17:01:32.407	0.060907	0.027685	0.138424
ctrl + c:
Program end
