ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
09/13/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
22:20:51.114	0.019081	0.008673	0.043365
22:20:51.165	0.018461	0.008391	0.041957
22:20:51.216	0.025256	0.011480	0.057400
22:20:51.267	0.009655	0.004389	0.021943
22:20:51.318	0.019743	0.008974	0.044871
22:20:51.368	0.019847	0.009021	0.045107
22:20:51.419	0.024541	0.011155	0.055776
22:20:51.470	0.021687	0.009858	0.049288
22:20:51.521	0.019345	0.008793	0.043967
22:20:51.572	0.017378	0.007899	0.039496
22:20:51.623	0.023579	0.010718	0.053588
22:20:51.673	0.018751	0.008523	0.042616
22:20:51.724	0.015560	0.007073	0.035363
22:20:51.775	0.016854	0.007661	0.038304
22:20:51.826	0.019011	0.008641	0.043206
22:20:51.877	0.016042	0.007292	0.036460
22:20:51.928	0.017620	0.008009	0.040047
22:20:51.978	0.015807	0.007185	0.035924
22:20:52.029	0.016762	0.007619	0.038095
22:20:52.080	0.019156	0.008707	0.043536
22:20:52.131	0.018675	0.008489	0.042443
22:20:52.182	0.016641	0.007564	0.037821
22:20:52.233	0.024411	0.011096	0.055481
22:20:52.284	0.020989	0.009540	0.047702
22:20:52.334	0.019303	0.008774	0.043871
22:20:52.385	0.018846	0.008566	0.042832
22:20:52.436	0.021983	0.009992	0.049962
22:20:52.487	0.017884	0.008129	0.040645
22:20:52.538	0.017827	0.008103	0.040517
22:20:52.589	0.015560	0.007073	0.035363
22:20:52.639	0.012249	0.005568	0.027840
22:20:52.690	0.020754	0.009433	0.047167
22:20:52.741	0.017410	0.007914	0.039568
22:20:52.792	0.014535	0.006607	0.033034
22:20:52.843	0.021734	0.009879	0.049395
22:20:52.894	0.018373	0.008351	0.041756
22:20:52.944	0.017387	0.007903	0.039517
22:20:52.995	0.016001	0.007273	0.036366
22:20:53.046	0.015860	0.007209	0.036045
22:20:53.097	0.019047	0.008658	0.043289
22:20:53.148	0.017613	0.008006	0.040030
22:20:53.199	0.017088	0.007767	0.038837
22:20:53.250	0.015123	0.006874	0.034371
22:20:53.301	0.017970	0.008168	0.040841
22:20:53.351	0.016345	0.007430	0.037148
22:20:53.402	0.014936	0.006789	0.033946
22:20:53.453	0.023134	0.010516	0.052578
22:20:53.504	0.018119	0.008236	0.041180
22:20:53.555	0.018035	0.008198	0.040988
22:20:53.606	0.017110	0.007777	0.038887
22:20:53.656	0.020695	0.009407	0.047035
22:20:53.707	0.021677	0.009853	0.049265
22:20:53.758	0.017898	0.008135	0.040676
22:20:53.809	0.014988	0.006813	0.034063
22:20:53.860	0.019298	0.008772	0.043858
22:20:53.910	0.019829	0.009013	0.045065
22:20:53.962	0.003226	0.001466	0.007332
22:20:54.013	0.014579	0.006627	0.033135
22:20:54.063	0.020322	0.009237	0.046187
22:20:54.114	0.018100	0.008227	0.041137
22:20:54.165	0.020389	0.009268	0.046339
22:20:54.216	0.021664	0.009847	0.049236
22:20:54.267	0.018424	0.008374	0.041872
22:20:54.317	0.028914	0.013143	0.065713
22:20:54.368	0.008743	0.003974	0.019871
22:20:54.419	0.016063	0.007301	0.036506
22:20:54.471	-0.019760	-0.008982	-0.044908
22:20:54.523	0.022624	0.010284	0.051418
22:20:54.574	0.014191	0.006451	0.032253
22:20:54.625	0.019366	0.008803	0.044014
22:20:54.676	0.020871	0.009487	0.047435
22:20:54.726	0.018875	0.008579	0.042897
22:20:54.777	0.017856	0.008116	0.040581
22:20:54.828	0.020600	0.009364	0.046818
22:20:54.879	0.018797	0.008544	0.042721
22:20:54.930	0.016658	0.007572	0.037860
22:20:54.981	0.006672	0.003033	0.015165
22:20:55.032	0.023559	0.010709	0.053544
22:20:55.082	0.018625	0.008466	0.042330
22:20:55.133	0.016663	0.007574	0.037871
22:20:55.184	0.016940	0.007700	0.038500
22:20:55.235	0.013102	0.005955	0.029777
22:20:55.286	0.006044	0.002747	0.013736
22:20:55.337	0.003235	0.001470	0.007352
22:20:55.388	0.005832	0.002651	0.013254
22:20:55.439	-0.072976	-0.033171	-0.165855
22:20:55.490	0.009061	0.004119	0.020594
22:20:55.540	0.008759	0.003981	0.019906
22:20:55.591	0.008270	0.003759	0.018794
22:20:55.642	0.001012	0.000460	0.002300
22:20:55.693	0.003245	0.001475	0.007376
22:20:55.744	0.002800	0.001273	0.006364
22:20:55.795	-0.011877	-0.005398	-0.026992
22:20:55.846	0.013279	0.006036	0.030179
22:20:55.897	0.010576	0.004807	0.024036
22:20:55.948	0.006870	0.003123	0.015613
22:20:55.999	0.017420	0.007918	0.039590
22:20:56.050	0.015365	0.006984	0.034920
22:20:56.101	0.017679	0.008036	0.040180
22:20:56.152	0.016363	0.007438	0.037189
22:20:56.203	0.014745	0.006702	0.033511
22:20:56.254	0.007941	0.003610	0.018049
22:20:56.304	0.014307	0.006503	0.032515
22:20:56.355	0.014311	0.006505	0.032524
22:20:56.406	0.013989	0.006359	0.031794
22:20:56.457	0.019307	0.008776	0.043879
22:20:56.508	0.014228	0.006467	0.032337
22:20:56.559	0.015993	0.007269	0.036347
22:20:56.609	0.014256	0.006480	0.032401
22:20:56.660	0.017644	0.008020	0.040101
22:20:56.711	0.017685	0.008039	0.040194
22:20:56.762	0.027209	0.012368	0.061839
22:20:56.813	0.018203	0.008274	0.041371
22:20:56.863	0.018949	0.008613	0.043066
22:20:56.914	0.015378	0.006990	0.034950
22:20:56.965	0.003650	0.001659	0.008295
22:20:57.016	0.014168	0.006440	0.032200
22:20:57.067	0.018785	0.008538	0.042692
22:20:57.118	0.016922	0.007692	0.038459
22:20:57.168	0.015751	0.007160	0.035798
22:20:57.219	0.017386	0.007903	0.039514
22:20:57.270	0.016832	0.007651	0.038254
22:20:57.321	0.017418	0.007917	0.039586
22:20:57.372	0.015641	0.007109	0.035547
22:20:57.423	0.018058	0.008208	0.041041
22:20:57.473	0.015716	0.007144	0.035718
22:20:57.524	0.013707	0.006231	0.031153
22:20:57.575	0.018304	0.008320	0.041599
22:20:57.626	0.007022	0.003192	0.015960
22:20:57.677	-0.019659	-0.008936	-0.044680
22:20:57.729	-0.059266	-0.026939	-0.134696
22:20:57.780	-0.021342	-0.009701	-0.048504
22:20:57.831	-0.061119	-0.027782	-0.138908
22:20:57.882	-0.006788	-0.003086	-0.015428
22:20:57.934	-0.016789	-0.007631	-0.038157
22:20:57.985	-0.014358	-0.006526	-0.032632
22:20:58.036	-0.037118	-0.016872	-0.084359
22:20:58.087	-0.008298	-0.003772	-0.018859
22:20:58.138	0.013107	0.005958	0.029788
22:20:58.189	0.011236	0.005107	0.025537
22:20:58.241	0.009473	0.004306	0.021530
22:20:58.292	0.010139	0.004609	0.023044
22:20:58.343	0.016103	0.007320	0.036598
22:20:58.394	0.006820	0.003100	0.015501
22:20:58.445	-0.014708	-0.006685	-0.033427
22:20:58.496	0.011248	0.005113	0.025563
22:20:58.547	0.003121	0.001418	0.007092
22:20:58.598	0.009849	0.004477	0.022383
22:20:58.649	0.001528	0.000695	0.003473
22:20:58.700	0.009274	0.004215	0.021076
22:20:58.752	0.011287	0.005131	0.025653
22:20:58.803	0.010040	0.004564	0.022819
22:20:58.854	0.009276	0.004216	0.021081
22:20:58.905	0.014552	0.006614	0.033072
22:20:58.956	0.011572	0.005260	0.026299
22:20:59.007	0.006410	0.002914	0.014568
22:20:59.058	0.009528	0.004331	0.021654
22:20:59.110	-0.016156	-0.007343	-0.036717
22:20:59.161	-0.035012	-0.015914	-0.079572
22:20:59.213	-0.021752	-0.009887	-0.049437
22:20:59.265	-0.000329	-0.000150	-0.000748
22:20:59.315	0.023171	0.010532	0.052662
22:20:59.366	0.017617	0.008008	0.040038
22:20:59.417	0.016656	0.007571	0.037855
22:20:59.468	0.017534	0.007970	0.039851
22:20:59.519	0.006877	0.003126	0.015628
22:20:59.570	0.015811	0.007187	0.035935
22:20:59.621	0.014825	0.006739	0.033693
22:20:59.672	0.013385	0.006084	0.030421
22:20:59.723	0.023646	0.010748	0.053740
22:20:59.773	0.015447	0.007021	0.035107
22:20:59.825	0.009247	0.004203	0.021016
22:20:59.875	0.021136	0.009607	0.048037
22:20:59.926	0.010451	0.004750	0.023752
22:20:59.978	0.009527	0.004331	0.021653
22:21:00.028	0.017459	0.007936	0.039680
22:21:00.079	0.009309	0.004231	0.021156
22:21:00.131	0.009635	0.004380	0.021898
22:21:00.182	0.007380	0.003354	0.016772
22:21:00.233	0.014309	0.006504	0.032520
22:21:00.284	0.005521	0.002509	0.012547
22:21:00.335	0.007519	0.003418	0.017089
22:21:00.386	-0.025307	-0.011503	-0.057515
22:21:00.437	0.014080	0.006400	0.031999
22:21:00.488	0.018789	0.008540	0.042702
22:21:00.539	0.013301	0.006046	0.030229
22:21:00.590	0.013672	0.006215	0.031074
