ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
07/06/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
17:01:54.665	-0.088198	-0.040090	-0.200450
17:01:54.724	-0.086026	-0.039103	-0.195513
17:01:54.782	-0.084663	-0.038483	-0.192415
17:01:54.840	-0.084019	-0.038190	-0.190952
17:01:54.898	-0.082362	-0.037437	-0.187186
17:01:54.957	-0.080094	-0.036406	-0.182032
17:01:55.015	-0.080819	-0.036736	-0.183679
17:01:55.074	-0.080837	-0.036744	-0.183719
17:01:55.132	-0.080699	-0.036681	-0.183406
17:01:55.191	-0.080271	-0.036487	-0.182434
17:01:55.249	-0.083251	-0.037841	-0.189206
17:01:55.307	-0.083576	-0.037989	-0.189945
17:01:55.366	-0.084269	-0.038304	-0.191521
17:01:55.424	-0.085009	-0.038640	-0.193202
17:01:55.482	-0.084894	-0.038588	-0.192940
17:01:55.540	-0.082672	-0.037578	-0.187892
17:01:55.599	-0.081514	-0.037052	-0.185259
17:01:55.657	-0.081565	-0.037075	-0.185374
17:01:55.715	-0.079370	-0.036077	-0.180387
17:01:55.773	-0.079708	-0.036231	-0.181154
17:01:55.832	-0.081332	-0.036969	-0.184846
17:01:55.890	-0.082643	-0.037565	-0.187824
17:01:55.948	-0.082279	-0.037399	-0.186997
17:01:56.007	-0.083398	-0.037908	-0.189540
17:01:56.066	-0.082484	-0.037493	-0.187464
17:01:56.124	-0.081323	-0.036965	-0.184825
17:01:56.182	-0.079731	-0.036241	-0.181206
17:01:56.241	-0.080552	-0.036614	-0.183072
17:01:56.299	-0.078907	-0.035867	-0.179334
17:01:56.357	-0.078318	-0.035599	-0.177994
17:01:56.416	-0.079566	-0.036167	-0.180833
17:01:56.474	-0.080945	-0.036793	-0.183966
17:01:56.532	-0.080659	-0.036663	-0.183315
17:01:56.590	-0.082895	-0.037679	-0.188397
17:01:56.649	-0.084199	-0.038272	-0.191362
17:01:56.707	-0.083630	-0.038014	-0.190069
17:01:56.765	-0.085533	-0.038879	-0.194393
17:01:56.824	-0.085141	-0.038700	-0.193502
17:01:56.883	-0.084453	-0.038388	-0.191938
17:01:56.941	-0.082644	-0.037565	-0.187827
17:01:56.999	-0.082169	-0.037350	-0.186749
17:01:57.057	-0.081993	-0.037270	-0.186348
17:01:57.116	-0.079083	-0.035947	-0.179734
17:01:57.174	-0.080311	-0.036505	-0.182525
17:01:57.232	-0.079918	-0.036326	-0.181631
17:01:57.291	-0.080725	-0.036693	-0.183466
17:01:57.349	-0.084546	-0.038430	-0.192151
17:01:57.407	-0.086677	-0.039399	-0.196993
17:01:57.465	-0.086462	-0.039301	-0.196506
17:01:57.524	-0.087723	-0.039874	-0.199370
17:01:57.582	-0.087166	-0.039621	-0.198106
17:01:57.640	-0.083867	-0.038121	-0.190607
17:01:57.698	-0.083042	-0.037746	-0.188732
17:01:57.757	-0.081990	-0.037268	-0.186341
17:01:57.815	-0.079656	-0.036207	-0.181035
17:01:57.874	-0.078226	-0.035557	-0.177787
17:01:57.932	-0.079834	-0.036288	-0.181441
17:01:57.991	-0.080437	-0.036562	-0.182812
17:01:58.049	-0.079101	-0.035955	-0.179774
17:01:58.107	-0.081901	-0.037228	-0.186139
17:01:58.165	-0.080288	-0.036494	-0.182472
17:01:58.224	-0.079687	-0.036222	-0.181108
17:01:58.283	-0.076351	-0.034705	-0.173526
17:01:58.341	-0.071501	-0.032500	-0.162502
17:01:58.399	-0.065477	-0.029762	-0.148812
17:01:58.458	-0.061575	-0.027989	-0.139944
17:01:58.516	-0.057366	-0.026075	-0.130377
17:01:58.574	-0.052211	-0.023732	-0.118661
17:01:58.633	-0.047399	-0.021545	-0.107724
ctrl + c:
Program end
